FECHA;CANTIDAD;TIPO DE SERVICIO Especifico;TIPO DE SERVICIO General;DESCRIPCIÓN;COSTO x Uni;MONTO TOTAL;;;;;;;;;;;;;;;
3/1/2025;1;Colchón;Limpieza;compra lejia color;12.2;12.2;;;;;;;;;;;;;;;
4/1/2025;1;Medicamento;Medicamento;BETTY ;280;280;;;;;;;;;;;;;;;
4/1/2025;1;Abogados;Abogados;Cristina consulta de 390;195;195;;;;;;;;;;;;;;;
6/1/2025;1;Abogados;Abogados;Cristina consulta de 390;195;195;;;;;;;;;;;;;;;
7/1/2025;1;Colchón;Limpieza;insumos;719.5;719.5;;;;;;;;;;;;;;;
7/1/2025;1;Abogados;Abogados;Cristina consulta de 250;125;125;;;;;;;;;;;;;;;
8/1/2025;1;Empresa;Empresa;PAPEL TOALLA;13.2;13.2;;;;;;;;;;;;;;;
8/1/2025;1;Pisos;Limpieza;Insumos de Jonny;340;340;;;;;;;;;;;;;;;
9/1/2025;1;Cocina;Limpieza;Vinagres ;44.4;44.4;;;;;;;;;;;;;;;
9/1/2025;1;Empresa;Empresa;Refrigerio;32;32;;;;;;;;;;;;;;;
9/1/2025;1;Pisos;Limpieza;Compra insumos de piso;273.3;273.3;;;;;;;;;;;;;;;
9/1/2025;1;Abogados;Abogados;consulta abogado 390;195;195;;;;;;;;;;;;;;;
14/1/2025;1;Clases;Clases;PAGO ALFO ;315;315;;;;;;;;;;;;;;;
20/1/2025;1;Pisos;Limpieza;COMPRA INSUMOS LIMPIEZA ;560;560;;;;;;;;;;;;;;;
20/1/2025;1;Empresa;Empresa;2 pasaje ;2;2;;;;;;;;;;;;;;;
21/1/2025;1;Empresa;Empresa;Gaseosa;19;19;;;;;;;;;;;;;;;
24/1/2025;1;Empresa;Empresa;dollar city;72;72;;;;;;;;;;;;;;;
24/1/2025;1;Cocina;Limpieza;Vinagres ;15.6;15.6;;;;;;;;;;;;;;;
24/1/2025;1;Pisos;Limpieza;comora binner pisos;491.7;491.7;;;;;;;;;;;;;;;
24/1/2025;1;Pisos;Limpieza;pads joni;510;510;;;;;;;;;;;;;;;
25/1/2025;1;Empresa;Empresa;gaseosa;21;21;;;;;;;;;;;;;;;
27/1/2025;1;Empresa;Empresa;gaseosa;20;20;;;;;;;;;;;;;;;
28/1/2025;1;Colchón;Limpieza;champu de muebles ;120;120;;;;;;;;;;;;;;;
28/1/2025;3;Empresa;Empresa;Pago AFP (incluye Essalud);128.48;385.44;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
28/1/2025;1;Personal Marketing;Marketing;Pago a Camila;673.66;673.66;;;;;;;;;;;;;;;
5/2/2025;1;Empresa;Empresa;gaseosa/bocaditos/bizcochos;26.3;26.3;;;;;;;;;;;;;;;
5/2/2025;1;Pisos;Limpieza;insumos;820;820;;;;;;;;;;;;;;;
5/2/2025;1;Empresa;Empresa;gaseosa/kekes;21.5;21.5;;;;;;;;;;;;;;;
5/2/2025;1;Personal Limpieza;Limpieza;Jose/ Ricardo/ Jeremy;225;225;;;;;;;;;;;;;;;
6/2/2025;1;Empresa;Empresa;gaseosa/kekes;14.9;14.9;;;;;;;;;;;;;;;
6/2/2025;1;Personal Limpieza;Limpieza;Ricardo;60;60;;;;;;;;;;;;;;;
7/2/2025;1;Personal Limpieza;Limpieza;Ricardo;75;75;;;;;;;;;;;;;;;
8/2/2025;1;Personal Limpieza;Limpieza;Jhony - visita técnica;60;60;;;;;;;;;;;;;;;
8/2/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;95;95;;;;;;;;;;;;;;;
8/2/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;145;145;;;;;;;;;;;;;;;
8/2/2025;1;Personal Limpieza;Limpieza;Sr Rosa;3;3;;;;;;;;;;;;;;;
8/2/2025;1;Personal Limpieza;Limpieza;José Urbina;55;55;;;;;;;;;;;;;;;
9/2/2025;1;Clases;Clases;Jorge Fernandez  (clases);895;895;;;;;;;;;;;;;;;
10/2/2025;1;Clases;Clases;Katherine Cristobal;517.5;517.5;;;;;;;;;;;;;;;
11/2/2025;1;Colchón;Limpieza;René Shampoo;120;120;;;;;;;;;;;;;;;
13/2/2025;1;Personal Limpieza;Limpieza;Salud Brayan;50;50;;;;;;;;;;;;;;;
13/2/2025;1;Abogados;Abogados;Abogado Labor Molina;95;95;;;;;;;;;;;;;;;
13/2/2025;1;Colchón;Limpieza;Carbon para maq. aspiradora;60;60;;;;;;;;;;;;;;;
13/2/2025;1;Reparaciones;Reparaciones;Reparación Jefer (BK cowork);90;90;;;;;;;;;;;;;;;
13/2/2025;1;Medicamento;Medicamento;Farmacéutica Betty;3500;3500;;;;;;;;;;;;;;;
13/2/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;195;195;;;;;;;;;;;;;;;
14/2/2025;1;Pisos;Limpieza;Rueda para aspiradora;12;12;;;;;;;;;;;;;;;
14/2/2025;1;Empresa;Empresa;José Urbina;55;55;;;;;;;;;;;;;;;
14/2/2025;1;Pisos;Limpieza;Visita técnica Jhonny;50;50;;;;;;;;;;;;;;;
15/2/2025;1;Pisos;Limpieza;Insumos Jhonny (minipads);240;240;;;;;;;;;;;;;;;
15/2/2025;1;Personal Ventas;Empresa;Olga (ventas);500;500;;;;;;;;;;;;;;;
15/2/2025;1;Personal Ventas;Empresa;Navid (ventas);500;500;;;;;;;;;;;;;;;
15/2/2025;1;Personal Limpieza;Limpieza;Jesús (mantenimiento);750;750;;;;;;;;;;;;;;;
15/2/2025;1;Personal Limpieza;Limpieza;Rosa (mantenimiento);900;900;;;;;;;;;;;;;;;
16/2/2025;1;Marketing;Marketing;Google Ads;13742.8;13742.8;;;;;;;;;;;;;;;
17/2/2025;1;Pisos;Limpieza;Insumos de limpieza;399;399;;;;;;;;;;;;;;;
17/2/2025;1;Empresa;Empresa;Ventilador/mascarilla;87.7;87.7;;;;;;;;;;;;;;;
17/2/2025;1;Clases;Clases;Profesor Jackson Rojo;225;225;;;;;;;;;;-;;;;;
17/2/2025;1;Empresa;Empresa;Servicios de Jhonny Nalvarte;300;300;;;;;;;;;;;;;;;
18/2/2025;1;Clases;Clases;Adelanto de Brayan;320;320;;;;;;;;;;;;;;;
18/2/2025;1;Empresa;Empresa;02 plumones negros;7;7;;;;;;;;;;-;;;;;
18/2/2025;1;Empresa;Empresa;Servicios de Jhonny Nalvarte;300;300;;;;;;;;;;;;;;;
18/2/2025;1;Abogados;Abogados;Abogado David Molina;312.5;312.5;;;;;;;;;;;;;;;
19/2/2025;1;Pisos;Limpieza;Insumos de Jhonny;751;751;;;;;;;;;;;;;;;
20/2/2025;1;Pisos;Limpieza;Insumos (Sellador);111.8;111.8;;;;;;;;;;;;;;;
20/2/2025;1;Empresa;Empresa;PLumones;9;9;;;;;;;;;;;;;;;
20/2/2025;1;Empresa;Empresa;Pago local;2300;2300;;;;;;;;;;;;;;;
20/2/2025;1;Pisos;Limpieza;Soldimix;9.5;9.5;;;;;;;;;;;;;;;
20/2/2025;1;Empresa;Empresa;Operario Carla;75;75;;;;;;;;;;;;;;;
21/2/2025;1;Colchón;Limpieza;René Shampoo;120;120;;;;;;;;;;;;;;;
21/2/2025;1;Colchón;Limpieza;6 galones de lejía;108;108;;;;;;;;;;;;;;;
21/2/2025;1;Empresa;Empresa;Operario José Urbina;60;60;;;;;;;;;;;;;;;
21/2/2025;1;Empresa;Empresa; Operario Luis Miguel;60;60;;;;;;;;;;;;;;;
21/2/2025;1;Empresa;Empresa;Pasajes Jesus y Luis MIguel;8;8;;;;;;;;;;;;;;;
21/2/2025;1;Empresa;Empresa;Pastillas Navid;12;12;;;;;;;;;;;;;;;
22/2/2025;1;Pisos;Limpieza;Accesorio de pato para aspiradora;55;55;;;;;;;;;;;;;;;
23/2/2025;1;Clases;Clases;Jorge Fernandez  (clases);822.5;822.5;;;;;;;;;;;;;;;
24/2/2025;1;Personal Limpieza;Limpieza;José Urbina;55;55;;;;;;;;;;;;;;;
24/2/2025;1;Personal Limpieza;Limpieza;Operario Noemí;65;65;;;;;;;;;;;;;;;
25/2/2025;4;Medicamento;Medicamento;Betty (voriconazol 4 und);100;400;;;;;;;;;;;;;;;
25/2/2025;1;Pisos;Limpieza;Insumos: Binners y otros;223.4;223.4;;;;;;;;;;;;;;;
25/2/2025;1;Empresa;Empresa;Ventilador;99.9;99.9;;;;;;;;;;;;;;;
25/2/2025;1;Clases;Clases;Katherine Cristóbal (clases);202.5;202.5;;;;;;;;;;;;;;;
25/2/2025;1;Personal Limpieza;Limpieza;Juan Carlos (operario);75;75;;;;;;;;;;;;;;;
26/2/2025;1;Pisos;Limpieza;Binner sellador;64;64;;;;;;;;;;;;;;;
27/2/2025;1;Empresa;Empresa;Impresiones;9;9;;;;;;;;;;;;;;;
27/2/2025;1;Empresa;Empresa;Bocadistos, gaseosa (para Luis);7;7;;;;;;;;;;;;;;;
27/2/2025;1;Personal Limpieza;Limpieza;Pago José;78;78;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;02 mascarillas;25.6;25.6;;;;;;;;;;;;;;;
28/2/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
28/2/2025;1;Colchón;Limpieza;Lejía;11;11;;;;;;;;;;;;;;;
28/2/2025;3;Empresa;Empresa;Pago AFP (incluye Essalud);128.48;385.44;;;;;;;;;;;;;;;
28/2/2025;1;Personal Marketing;Marketing;Pago a Camila;732.44;732.44;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Idroo;40;40;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Indeed;650;650;;;;;;;;;;;;;;;
28/2/2025;2;Empresa;Empresa;Adobe;146;292;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Test Gorilla;430;430;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Chat Gtp;80;80;;;;;;;;;;;;;;;
28/2/2025;2;Empresa;Empresa;Gemini;74;148;;;;;;;;;;;;;;;
28/2/2025;1;Empresa;Empresa;Sueldo Marco;10000;10000;;;;;;;;;;;;;;;
28/2/2025;1;Taxis;Limpieza;TAXIS FEBRERO;4024.4;4024.4;;;;;;;;;;;;;;;
1/3/2025;1;Empresa;Empresa;Bocadistos, gaseosa;38.7;38.7;;;;;;;;;;;;;;;
1/3/2025;1;Empresa;Empresa;Pago del personal;S/.11,189.30;S/.11,189.31;;;;;;;;;;;;;;;
3/3/2025;3;Pisos;Limpieza;Lejía galon sapolio;11;33;;;;;;;;;;;;;;;
3/3/2025;3;Colchón;Limpieza;Lejía color Sapolio Galón;19;57;;;;;;;;;;;;;;;
3/3/2025;1;Pisos;Limpieza;Bolsa 140 lt trapeado;35;35;;;;;;;;;;;;;;;
3/3/2025;1;Pisos;Limpieza;Trapeador microfibr;52;52;;;;;;;;;;;;;;;
3/3/2025;4;Pisos;Limpieza;Quitasarro galón;10;40;;;;;;;;;;;;;;;
3/3/2025;1;Pisos;Limpieza;Cera galón;42;42;;;;;;;;;;;;;;;
3/3/2025;1;Pisos;Limpieza;Guantes nitrilo;40;40;;;;;;;;;;;;;;;
3/3/2025;1;Pisos;Limpieza;Masking;9.5;9.5;;;;;;;;;;;;;;;
3/3/2025;6;Pisos;Limpieza;Remov Piso;29.9;179.4;;;;;;;;;;;;;;;
3/3/2025;1;Pisos;Limpieza;Sellador B;64.9;64.9;;;;;;;;;;;;;;;
3/3/2025;2;Pisos;Limpieza;Brocha;10.7;21.4;;;;;;;;;;;;;;;
3/3/2025;2;Pisos;Limpieza;Rempis Binner;30.5;61;;;;;;;;;;;;;;;
4/3/2025;1;Pisos;Limpieza;Insumos;12;12;;;;;;;;;;;;;;;
4/3/2025;1;Pisos;Limpieza;Yoni removedor americano;100;100;;;;;;;;;;;;;;;
4/3/2025;1;Empresa;Empresa;Devolución a Jesús;5;5;;;;;;;;;;;;;;;
5/3/2025;1;Limpieza;Limpieza;gaseosa;10;10;;;;;;;;;;;;;;;
6/3/2025;1;Empresa;Empresa;pastillas Diana;3.8;3.8;;;;;;;;;;;;;;;
6/3/2025;1;Reparaciones;Reparaciones;Arreglo laptop;60;60;;;;;;;;;;;;;;;
7/3/2025;45;Pisos;Limpieza;Minipad (15 verdes, 15 marrones y 15 negros);4;180;;;;;;;;;;;;;;;
7/3/2025;1;Empresa;Empresa;Bocaditos para el compartir;44.06;44.06;;;;;;;;;;;;;;;
7/3/2025;1;Personal Limpieza;Limpieza;Pago José;90;90;;;;;;;;;;;;;;;
10/3/2025;5;Pisos;Limpieza;Binner sellador;30.54;152.7;;;;;;;;;;;;;;;
10/3/2025;1;Pisos;Limpieza;insumos para pisos;13;13;;;;;;;;;;;;;;;
10/3/2025;4;Pisos;Limpieza;Trapeador microfibr;52;208;;;;;;;;;;;;;;;
10/3/2025;12;Pisos;Limpieza;microfib;7;84;;;;;;;;;;;;;;;
10/3/2025;3;Colchón;Limpieza;Legia color galon;19;57;;;;;;;;;;;;;;;
10/3/2025;1;Colchón;Limpieza;Legía galón;11;11;;;;;;;;;;;;;;;
10/3/2025;1;Colchón;Limpieza;Esponja;15;15;;;;;;;;;;;;;;;
10/3/2025;2;Pisos;Limpieza;Libre Enjuague;22;44;;;;;;;;;;;;;;;
10/3/2025;1;Clases;Clases;Aldo;2263.15;2263.15;;;;;;;;;;;;;;;
10/3/2025;1;Clases;Clases;Jorge Clases;1985.65;1985.65;;;;;;;;;;;;;;;
10/3/2025;1;Colchón;Limpieza;Devolución a Cliente;194;194;;;;;;;;;;;;;;;
10/3/2025;3;Empresa;Empresa;agua para operarios;1.5;4.5;;;;;;;;;;;;;;;
10/3/2025;1;Personal Limpieza;Limpieza;pago a Noemi;80;80;;;;;;;;;;;;;;;
10/3/2025;1;Empresa;Empresa;taxi Diana;14.5;14.5;;;;;;;;;;;;;;;
10/3/2025;1;Empresa;Empresa;mascarillas;3;3;;;;;;;;;;;;;;;
10/3/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;508.5;508.5;;;;;;;;;;;;;;;
10/3/2025;1;Clases;Clases;Profesora Celia;1218.75;1218.75;;;;;;;;;;;;;;;
11/3/2025;1;Empresa;Empresa;Lonche de ayer (dos queques y 2 quaquer);9;9;;;;;;;;;;;;;;;
14/3/2025;1;Colchón;Limpieza;shampoo para muebles y colchones;120;120;;;;;;;;;;;;;;;
14/3/2025;1;Personal Limpieza;Limpieza;Pago Luis Miguel;240.13;240.13;;;;;;;;;;;;;;;
15/3/2025;1;Personal Limpieza;Limpieza;Pago señora Rosa;900;900;;;;;;;;;;;;;;;
15/3/2025;1;Personal Limpieza;Limpieza;Pago Jesús;750;750;;;;;;;;;;;;;;;
15/3/2025;1;Empresa;Empresa;queques y gaseosa;18;18;;;;;;;;;;;;;;;
17/3/2025;1;Pisos;Limpieza;Insumo para muebles y pisos;366;366;;;;;;;;;;;;;;;
17/3/2025;2;Empresa;Empresa;blister de voriconazol;100;260;;;;;;;;;;;;;;;
17/3/2025;1;Pisos;Limpieza;Insumo para muebles y pisos;13;13;;;;;;;;;;;;;;;
17/3/2025;1;Pisos;Limpieza;chema clea, mas ;88.9;88.9;;;;;;;;;;;;;;;
17/3/2025;1;Empresa;Empresa;Google Ads;3794.46;7800.71;;;;;;;;;;;;;;;
17/3/2025;10;Pisos;Limpieza;pad marca americo;30;300;;;;;;;;;;;;;;;
18/3/2025;2;Pisos;Limpieza;Ceras negras;11.8;23.6;;;;;;;;;;;;;;;
18/3/2025;1;Empresa;Empresa;hamburguesa;25;25;;;;;;;;;;;;;;;
18/3/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;95;95;;;;;;;;;;;;;;;
18/3/2025;1;Clases;Clases;Profesor Jorge Fernandez;1082.5;1082.5;;;;;;;;;;;;;;;
18/3/2025;1;Empresa;Empresa;Local;2550;2550;;;;;;;;;;;;;;;
19/3/2025;4;Medicamento;Medicamento;Rituximab;1000;4000;;;;;;;;;;;;;;;
19/3/2025;1;Empresa;Empresa;Torta;39.59;39.59;;;;;;;;;;;;;;;
19/3/2025;1;Empresa;Empresa;gaseosa;12.2;12.2;;;;;;;;;;;;;;;
19/3/2025;1;Empresa;Empresa;Bocaditos para el compartir;24.8;24.8;;;;;;;;;;;;;;;
19/3/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;450;450;;;;;;;;;;;;;;;
20/3/2025;1;Empresa;Empresa;gaseosa;12;12;;;;;;;;;;;;;;;
20/3/2025;1;Pisos;Limpieza;cera;8;8;;;;;;;;;;;;;;;
20/3/2025;1;Personal Limpieza;Limpieza;Pago José;60;60;;;;;;;;;;;;;;;
20/3/2025;7;Pisos;Limpieza;removedor pisos;19.93;139.51;;;;;;;;;;;;;;;
20/3/2025;1;Pisos;Limpieza;pads para pisos;247.2;247.2;;;;;;;;;;;;;;;
20/3/2025;1;Personal Marketing;Marketing;Comisión Mario;220;220;;;;;;;;;;;;;;;
20/3/2025;2;Pisos;Limpieza;removedor pisos;19.93;39.86;;;;;;;;;;;;;;;
24/3/2025;1;Pisos;Limpieza;insumos para pisos;13;13;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesor Jorge Fernandez;652.5;652.5;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesora Katherine;67.5;67.5;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesor Jackson Rojo;180;180;;;;;;;;;;;;;;;
24/3/2025;1;Clases;Clases;Profesora Lizbeth;75;75;;;;;;;;;;;;;;;
25/3/2025;1;Pisos;Limpieza;insumos para pisos;13;13;;;;;;;;;;;;;;;
26/3/2025;1;Empresa;Empresa;gaseosa;12.6;12.6;;;;;;;;;;;;;;;
26/3/2025;3;Empresa;Empresa;queques y gaseosa;2.5;7.5;;;;;;;;;;;;;;;
26/3/2025;4;Pisos;Limpieza;pad blanco y rojo grande;30;120;;;;;;;;;;;;;;;
27/3/2025;1;Reparaciones;Reparaciones;reparación de aspiradoras;100;100;;;;;/;;;;;;;;;;
28/3/2025;1;Medicamento;Medicamento;Rituximab;1099;1099;;;;;;;;;;;;;;;
28/3/2025;1;Empresa;Empresa;Pastillas para Luis Miguel;2.5;2.5;;;;;;;;;;;;;;;
31/3/2025;6;Colchón;Limpieza;Lejia color galon sapolio;19;114;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;Lejia galon sapolio;11;22;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;suavitel doypack;22;44;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;silicona cuero spray;14;28;;;;;;;;;;;;;;;
31/3/2025;2;Colchón;Limpieza;soda caustica;14;28;;;;;;;;;;;;;;;
31/3/2025;1;Colchón;Limpieza;Trapeador microfibr;52;52;;;;;;;;;;;;;;;
31/3/2025;1;Clases;Clases;Profesora Celia;437.5;437.5;;;;;/;;;;;;;;;;
31/3/2025;1;Pisos;Limpieza;TAXIS MARZO;3042.5;3042.5;;;;;;;;;;;;;;;
30/3/2025;1;Empresa;Empresa;Sueldo Marco;10000;10000;;;;;;;;;;;;;;;
30/3/2025;3;Empresa;Empresa;Pago AFP (incluye Essalud);128.48;385.44;;;;;;;;;;;;;;;
30/3/2025;1;Empresa;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
30/3/2025;1;Hosting;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
30/3/2025;1;Clases;Empresa;Idroo;40;40;;;;;;;;;;;;;;;
30/3/2025;1;Empresa;Empresa;Indeed;650;650;;;;;;;;;;;;;;;
