MEDIO DE CONTACTO,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,SERVICIO,UBICACIÓN,ANTICIPO,RESTANTE,TOTAL,VENDEDOR
Pagina Web,Inmueble,Limpieza,limpieza de moho ,,195,,390,Yetsica
Pagina Web,Inmueble,Limpieza,DOMÉSTICA,,devolucion,,,GRECIA
Pagina Web,Inmueble,Limpieza,LIMPIEZA 198M2,,1043,,1490,Yetsica
Pagina Web,Clase modelo,Clases,CLASE,,300,,300,GRECIA
Pagina Web,,Abogados,CONSULTA,,390,,390,GRECIA
Pagina Web,Inmueble,Limpieza,Domestica 5 horas ,,100,,190,Yetsica
Pagina Web,Mueble,Limpieza,lavado de mueble ,,149,,299,fabiola
Pagina Web,Marketing,Marketing,Carta + menu,,175,,350,Cliente
Pagina Web,Clase modelo,Clases,clase,,150,,150,fabiola
-,Paquete de clases,Clases,Paquete 10,,829,,829,fabiola
Pagina Web,Clase modelo,Clases,CLASE ,,130,,130,GRECIA
,,Medicamento,VORICONAZOL,,980,,980,Cliente
Pagina Web,Colchón,Limpieza,COLCHONES,,300,,499,fabiola
Pagina Web,Pisos,Limpieza,visita,,80,,80,fabiola
Pagina Web,Pisos,Abogados,consulta,,390,,390,fabiola
,Pisos,Limpieza,visita piso,,170,,170,Cliente
Pagina Web,Inmueble,Limpieza,limpieza fina,,400,,400,Yetsica
Pagina Web,Colchón,Limpieza,COLCHON,,109.5,,219.5,FABIOLA
Llamada,,Abogados,CONSULTA,,250,,250,FABIOLA
Pagina Web,Inmueble,Limpieza,limpieza de moho ,,145,,290,FABIOLA
Llamada,Colchón,Limpieza,clochón,,84.5,,169,FABIOLA
Pagina Web,Inmueble,Limpieza,visita,,85,,85,FABIOLA
Pagina Web,Clase modelo,Clases,Clase,,100,,100,FABIOLA
Pagina Web,Inmueble,Limpieza,visita,,85,,85,Yetsica
Llamada,Baño,Limpieza,limpieza baño,,110.5,,219,marco
,Pisos,Limpieza,Limpieza de piso,,2100,,2990,Yetsica
Pagina Web,Inmueble,Limpieza,visita de casa ,,50,,50,Yetsica
Pagina Web,Paquete de clases,Clases,PAQUETE DE 10 HORAS,,629,,629,
Pagina Web,,Abogados,Consulta 390,,390,,390,
,Inmueble,Limpieza,Domestica 5 horas ,,75,,150,Cliente
,Pisos,Limpieza,LIMPIEZA DE 17M2 PARQUET,,700,,1500,
Pagina Web,,Marketing,logo,,175,,350,marco
Pagina Web,Colchón,Limpieza,LIMPIEZA COLCHON,,100,,200,Yetsica
Llamada,Pisos,Limpieza,visita de piso,,80,,80,Yetsica
Pagina Web,Pisos,Limpieza,visita pis,,50,,50,ariana
Llamada,Pisos,Limpieza,visita piso,,80,,,renato
,Mueble,Limpieza,Limpieza de mueble ,,144.5,,289,Cliente
Pagina Web,Colchón,Limpieza,limpieza al vapor,,150,,300,Yetsica
Pagina Web,Colchón,Limpieza,limpieza agresiva ,,90,,179,Yetsica
Pagina Web,Inmueble,Limpieza,VISITA ,,80,,80,Yetsica
Pagina Web,Inmueble,Limpieza,limpieza,,250,,499,Yetsica
Pagina Web,Inmueble,Limpieza,Domestica 5 horas ,,145,,145,Yetsica
Pagina Web,Inmueble,Limpieza,limpieza ,,195,,390,Yetsica
Pagina Web,Paquete de clases,Clases,paquete de 16 horas ,,343.2,,686.4,Yetsica
Pagina Web,,Medicamento,ondesatron,,19,,19,marco
Pagina Web,,Marketing,logo basico,,150,,150,marco
Pagina Web,Paquete de clases,Clases,paquete 10 horas,,629,,629,marco
Pagina Web,Clase modelo,Clases,clase,,190,,190,marco
Pagina Web,Clase modelo,Clases,Clase,,220,,220,Cliente
Pagina Web,Inmueble,Limpieza,LIMPIEZA MOHO,,195,,390,Yetsica
,Inmueble,Limpieza,Domestica 5 horas ,,75,,,Cliente
Pagina Web,Pisos,Limpieza,VISITA DE PISO ,,80,,80,Yetsica
,Paquete de clases,Clases,paquete 30 horas 597$,,1905.05,,2089.5,Cliente
Pagina Web,Mueble,Limpieza,limpieza mueble,,146.91,,249,Yetsica
Pagina Web,Inmueble,Limpieza,visita,,80,,80,Yetsica
Pagina Web,Clase modelo,Clases,clase local,,150,,150,marco
Pagina Web,Inmueble,Limpieza,VISITA,,80,,80,Yetsica
,Clase modelo,Clases,2 clases presenciales. ,,300,,300,Cliente
Llamada,Inmueble,Limpieza,limpieza profunda,,1000,,1990,Yetsica
Llamada,Colchón,Limpieza,lavado al vapor,,100,,199,Yetsica
Llamada,,Medicamento,capecitabina ,,300,,300,Yetsica
Pagina Web,Clase modelo,Clases,Clase,,110,,110,cliente 
Pagina Web,Inmueble,Limpieza,visita,,80,,80,Yetsica
Pagina Web,Paquete de clases,Clases,PAQUETE DE 10 HORAS ,,729,,729,Yetsica
Pagina Web,Clase modelo,Clases,2 horas 85 s,,170,,170,Yetsica
,Paquete de clases,Clases,paquete,,1000,,2.037,Marco
Pagina Web,Paquete de clases,Clases,paquete de 10 hora  217$,,760,,760,Marco
Pagina Web,Pisos,Limpieza,viista de piso,,80,,80,yetsica
Pagina Web,Mueble,Limpieza,limpieza DELICADO de mueble ,,150,,299,yetsica
Pagina Web,Mueble,Limpieza,LIMPIEZA AL VAPOR MUEBLE L ,,129.5,,269,YETSICA 
,Paquete de clases,Clases,paquete de 30 horas,,2607,,2607,Marco
Pagina Web,Mueble,Limpieza,Limpieza de mueble ,,120,,230,Yetsica
,,Limpieza,,,80,,80,Cliente
,Clase modelo,Clases,2 horas clase,,110,,110,Cliente
Pagina Web,Clase modelo,Clases,2 horas clases presencial,,130,,130,Marco
Pagina Web,Paquete de clases,Clases,paquete de 10 horas ,,449,,449,Marco
Pagina Web,Mueble,Limpieza,limpieza profunda,,1350,,2690,Yetsica
Pagina Web,Clase modelo,Clases,2 horas de 55s,,110,,110,Yetsica
Pagina Web,Colchón,Limpieza,LIMPIEza  AL VAPOR,,170,,339,Yetsica
Pagina Web,,Marketing,logo avanzado,,390,,390,Marco
Pagina Web,,Marketing,logo basico,,99,,99,Marco
Pagina Web,,Marketing,pagina web,,945,,1890,Marco
Pagina Web,,Marketing,logo avanzado,,150,,290,Marco
,Pisos,Limpieza,2 pisos 1990+ 1890 ,,2716,,3880,Cliente
Pagina Web,Inmueble,Limpieza,limpieza delicado ,,164.5,,329,Yetsica
,Clase modelo,Clases,2 horas clase,,110,,110,Cliente
Pagina Web,,Marketing,logo avanzado,,272.5,,545,Marco
Pagina Web,Inmueble,Limpieza,visita,,80,,80,Yetsica
Pagina Web,Inmueble,Limpieza,visita,,80,,80,Yetsica
Pagina Web,Inmueble,Limpieza,visita,,80,,80,
Pagina Web,Clase modelo,Clases,clase 65h,,130,,130,Yetsica
Pagina Web,Clase modelo,Clases,Clase,,110,,110,Cliente
Pagina Web,Colchón,Limpieza,LAVADO COLCHON,,219,,219,Yetsica
Pagina Web,Clase modelo,Clases,95 h,,190,,190,Marco
Pagina Web,Clase modelo,Clases,45 h,,90,,90,nuevo
Llamada,Inmueble,Limpieza,domestica ,,75,,150,Yetsica
Pagina Web,Pisos,Limpieza,visita ,,80,,80,Yetsica
Pagina Web,Clase modelo,Clases,25 $ 2  horas 50$ ,,175,,175,Yetsica
Pagina Web,Paquete de clases,Clases,paquete de 10 hora  217$,,760,,760,cliente
,Clase modelo,Clases,2 horas clase,,110,,110,Cliente
Pagina Web,,Marketing,logo,,145,,290,Marco
Pagina Web,,Marketing,logo,,145,,290,Marco
Pagina Web,Colchón,Limpieza,limpieza al vapor,,250,,499,Yetsica
,,Clases,2 horas clase,,110,,110,Cliente
Pagina Web,Ventana,Limpieza,limpieza ventanas,,195,,390,Yetsica
Pagina Web,Baño,Limpieza,limpieza inodoro,,99,,199,Yetsica
Llamada,Inmueble,Limpieza,Limpieza doméstica ,,75,,150,Navid
Llamada,Clase modelo,Clases,Clase 1hr,,-,,110,Marco
,,,,,,,145,Marco
,,,,,150,,150,Marco
,,,,,,,629,Marco
Llamada,Clase modelo,Clases,Clase 1hr,,-,,110,Marco
Llamada,Mueble,Limpieza,Lavado de muebles 3-2,,130,,260,Navid
Llamada,Inmueble,Limpieza,Limpieza industrial ,,500,,500,Navid
Llamada,,,,,,,2220.84,Marco
Llamada,Inmueble,Limpieza,Limpieza profunda ,,300,,600,Navid
Llamada,Inmueble,Limpieza,LIMPIEZA PROFUNDA,,126,,420,Navid
Pagina Web,,Clases,PAQUETE DE 1O HORAS,,729,,729,Yetsica
Llamada,Inmueble,Limpieza,Limpieza General profunda,,500,,1000,Olga
Llamada,Inmueble,Limpieza,Limpieza General profunda,,500,,1000,Navid
Llamada,Inmueble,Limpieza,Limpieza domestica ,,125,,250,Navid
Llamada,Inmueble,Limpieza,Limpieza doméstica ,,100,,200,Navid
Llamada,Inmueble,Limpieza,Limpieza Semi-industrial,,1000,,2000,Navid
,,,,,,,429,Marco
Pagina Web,Mueble,Limpieza,Limpieza de muebles ,,450,,990,Navid
Llamada,Mueble,Limpieza,Limpieza de muebles ,,140,,275,Navid
,,,,,,,190,Marco
Llamada,,Abogados,Asesoría legal ,,190,,190,Navid
Pagina Web,Colchón,Limpieza,Colchón,,88,,220,Jorge
Llamada,Inmueble,Limpieza,VISITA TECNICA ,,45,,45,Navid
Llamada,Inmueble,Limpieza,VISITA TECNICA ,,-,,30,Olga
Llamada,Inmueble,Limpieza,VISITA TECNICA ,,,,30,Olga
,,,,,,,190,Marco
Llamada,Inmueble,Limpieza,Limpieza profunda ,,283,,565,Navid
Llamada,,,Asesoría legal ,,390,,390,Navid
Llamada,Mueble,Limpieza,Limpieza de mueblese,,50,,235,Navid
Llamada,Inmueble,Limpieza,VISITA TECNICA ,,45,,45,Olga
,,,,,,,790,Marco
Pagina Web,Inmueble,Limpieza,VISITA TECNICA ,,50,,50,Navid
,,,,,,,110,Marco
Llamada,Pisos,Limpieza,limpieza de refrigeradora ,,100,,250,Olga
Llamada,Mueble,Limpieza,limpieza de muebles y colchon,,190,,378,Olga
Llamada,Inmueble,Limpieza,VISITA TECNICA ,,,,25,Olga
Llamada,,Abogados,COnsulta,,,,190,Marco
Llamada,,Abogados,COnsulta,,,,290,Marco
Llamada,Clase modelo,Clases,Clase,,,,100,Marco
,,,,,,,130,Marco
Llamada,Pisos,Limpieza,visita tecnica + limpieza de piso,,55,,705,Navid
Pagina Web,Mueble,Limpieza,Limpieza de muebles ,,107.6,,269,Navid
Llamada,Inmueble,Limpieza,Visita Técnica ,,,,35,Olga
Llamada,Cocina,Limpieza,limpieza cocina y refrigerador ,,174,,435,Navid
Llamada,Inmueble,Limpieza,Visita tecnica ,,,,50,Olga
,,,,,,,190,Marco
Pagina Web,Mueble,Limpieza,Limpieza de mueble ,,142.5,,285,Navid
Pagina Web,Colchón,Limpieza,Limpieza de colchon ,,98,,175,Navid
Llamada,Colchón,Limpieza,Limpieza colchón,,,,199,Diana
,,,,,,,130,Marco
Llamada,Clase modelo,Clases,Clase,,,,80,Marco
Llamada,Pisos,Limpieza,Piso madera + visita tecncia,,445,,990,Olga
Llamada,Inmueble,Limpieza,limpieza domestica ,,175,,350,Navid
Pagina Web,Mueble,Limpieza,limpieza de mueble ,,200,,200,Navid
Pagina Web,Inmueble,Limpieza,limpieza domestica ,,90,,180,Navid
Llamada,,,Asesoría de monografía,,,,291.97,Diana
Llamada,,,,,,,223.2,Marco
,Inmueble,Limpieza,Visita tecnica,,95,,95,Navid
Llamada,,Abogados,Asesoría legal ,,390,,390,Navid
Llamada,Colchón,Limpieza,limpieza de colchón ,,74,,185,Navid
Llamada,,Medicamento,Medicamentos,,,,5990,Marco
Llamada,,,Consulta,,-,,190,Marco
Llamada,Inmueble,Limpieza,Visita técnica,,,,60,Diana
Llamada,Inmueble,Limpieza,Limpieza doméstica,,,,120,Diana
,,,,,,,45,Marco
Pagina Web,Inmueble,Limpieza,visita ténica,,,,60,Olga
Pagina Web,Inmueble,Limpieza,Visita Técnica,,,,35,Olga
,,,,,,,80,Marco
Llamada,Clase modelo,Clases,Clases de matematica,,80,,80,Diana
Llamada,Inmueble,Limpieza,visita tecnica ,,50,,50,Diana
Pagina Web,Inmueble,Limpieza,visita técnica,,,,70.8,Olga
Llamada,Inmueble,Limpieza,visita y limpieza profunda ,,287.5,,287.5,Diana
Llamada,Colchón,Limpieza,limpieza de colchón ,,,,120,Diana
Llamada,Inmueble,Limpieza,Visita técnica,,,,60,Olga
Llamada,Paquete de clases,Clases,paquete de 10 horas ,,,,"1106,15",Diana
Llamada,Clase modelo,Clases,Hora pedagógica,,,,50,Diana
Llamada,,,Consulta,,,,625,Marco
,Clase modelo,Clases,Clase,,,,50,Marco
,,,,,,,110,Marco
Pagina Web,Inmueble,Limpieza,limpieza gen. profunda +mueble+alfombra,,450,,954,Olga
Llamada,Inmueble,Limpieza,Visita técnica,,,,80,Navid
Llamada,Pisos,Limpieza,Limpieza piso terrazo ,,986,,1181,Olga
,Clase modelo,Clases,Clase,,,,148.05,Marco
Pagina Web,Mueble,Limpieza,Limpieza de mueble ,,182,,182,Navid
Llamada,,,Asesoria legal,,190,,190,Navid
Pagina Web,Colchón,Limpieza,lavado colchon ,,129.5,,259,Olga
Llamada,Inmueble,Limpieza,visita tecnica,,,,45,Olga
Llamada,,Abogados,Consulta,,,,625,Marco
Llamada,Clase modelo,Clases,Hora pedagógica,,,,45,Olga
Llamada,Clase modelo,Clases,clase piloto ,,,,110,Olga
Pagina Web,Inmueble,Limpieza,limpieza general profunda,,282,,565,Olga
Llamada,Inmueble,Limpieza,visita tecncia ,,,,45,Olga
Pagina Web,Inmueble,Limpieza,Limpieza domestica ,,185,,185,Navid
Llamada,Inmueble,Limpieza,visita tecnica,,,,80,Olga
Pagina Web,Colchón,Limpieza,limpieza de colchon ,,124.5,,249,Navid
Pagina Web,Mueble,Limpieza,limpieza de mueble ,,149.5,,299,Navid
Pagina Web,Mueble,Limpieza,Limpieza de mueble,,115,,225,Navid
Llamada,Inmueble,Limpieza,limpieza domestica ,,75,,150,Navid
Llamada,,Marketing,Logos,,100,,199,Marco
Pagina Web,Inmueble,Limpieza,visita tecnica - + limpieza piso parquet y terrazo,,1165,,2265,Navid
Llamada,Inmueble,Limpieza,visita ,,50,,50,Navid
Llamada,Mueble,Limpieza,Limpieza de mueble ,,180,,355,Navid
Llamada,Mueble,Limpieza,Limpieza de mueble ,,105,,185,Navid
Pagina Web,Inmueble,Limpieza,Limpieza general profunda,,450,,945,Diana
Llamada,Inmueble,Limpieza,Limpieza al delicado,,415,,415,Diana
Llamada,,Limpieza,Devolución,,,,109,Marco
,,,,,,,95,Marco
Llamada,,Limpieza,Penalidad al Cliente,,,,120,Marco
,,,,,,,567.98,Marco
,,,,,,,120,Marco
Llamada,Inmueble,Limpieza,visita ténica,,,,45,Olga
Llamada,Inmueble,Limpieza,visita técnica,,,,45,Olga
Pagina Web,Inmueble,Limpieza,limpieza domestica ,,160,,315,Navid
Llamada,Clase modelo,Clases,clases 90 min,,,,160,Olga
Llamada,Clase modelo,Clases,Clase 180 min,,,,320,Marco
,,,,,,,220,Marco
Llamada,Colchón,Limpieza,limpieza colchon,,104.5,,209,Olga
,,,,,,,120,Marco
Pagina Web,Mueble,Limpieza,limpieza sillas,,90,,180,Olga
Pagina Web,Mueble,Limpieza,limpieza mueble,,99.5,,199,Olga
Llamada,Mueble,Limpieza,LGP depto y Al vapor muebles ,,500,,1000,Navid
Llamada,Inmueble,Limpieza,Visita técnica,,,,70,Diana
Llamada,,,Logo,,135,,135,Marco
,Clase modelo,Clases,Clase d,,,,232.7,Marco
Llamada,Colchón,Limpieza,limpieza colchon,,145,,270,Olga
Llamada,Pisos,Limpieza,limpieza piso madera ,,285,,285,Olga
,Clase modelo,Clases,Clase,,,,369,Marco
Llamada,Mueble,Limpieza,Limpieza de mueble,,85,,230,Navid
,Clase modelo,Clases,CLase,,,,60,Marco
,Clase modelo,Clases,Clase,,,,240,Marco
Llamada,,,Voriconazol 200 mg,,,,2360,Marco
Llamada,Inmueble,Limpieza,visita tecncia ,,,,45,Olga
Pagina Web,Inmueble,Limpieza,visita tecnica ,,80,,80,Olga
Llamada,Pisos,Limpieza,visita tecnica + piso laja,,643,,1205,Navid
Pagina Web,Inmueble,Limpieza,viisita tecnica,,,,50,Diana
Pagina Web,Inmueble,Limpieza,Limpieza al vapor ,,125,,250,Navid
Llamada,Ventana,Limpieza,limpieza de ventanas,,200,,400,Navid
Pagina Web,Colchón,Limpieza,limpieza al vapor,,297.5,,0,Navid
Llamada,Inmueble,Limpieza,limpieza profunda ,,729.5,,0,Navid
Pagina Web,Colchón,Limpieza,limpieza al vapor ,,200,,336.3,Navid
Llamada,Paquete de clases,Clases,Paquete de 10 horas,,520,209,729,Diana
,Clase modelo,Clases,Clase,,,,120,Marco
Pagina Web,Inmueble,Limpieza,limpieza al delicado ,,200,,435,Navid
Pagina Web,Inmueble,Limpieza,Limpieza al delicado ,,119.5,,239,Navid
Pagina Web,Inmueble,Limpieza,Visita técnica,,80,,80,Diana
Llamada,,Clases,clase piloto ,,190,,190,Diana
,,,,,,,199.87,Marco
Pagina Web,Inmueble,Limpieza,Visita técnica,,70,,70,Diana
Llamada,,,Clase,,,,130,Marco
Llamada,Clases,Clases,Clase piloto ,,30,,30,Diana
Llamada,Colchón,Limpieza,Limpieza al vapor,Surquillo,189,,189,Diana
Llamada,Pisos,Limpieza,piso terrazo ,,450,,900,Olga
Pagina Web,Pisos,Limpieza,visita técnica,Miraflores ,80,,80,Navid
Llamada,Clases,Clases,clase piloto ,,203.91,,203.91,Diana
Llamada,Clases,Clases,Paquete 10 horas,,399,,399,Diana
Llamada,Mueble,Limpieza,Lavado de mueble ,San Juan de Lurigancho,289,,289,Diana
Pagina Web,Colchón,Limpieza,limpieza al delicado,Punta Hermosa,207.1,,345,Navid
Llamada,Clases,Clases,Clase,,240,,240,Marco
,Clases,Clases,Clase Paquete 30 horas,,2107.41,,2107.41,Diana
Pagina Web,Medicamento,Medicamento,capecitabina + oxaliplatino,,1300,,1300,Navid
Llamada,Clases,Clases,Clase piloto ,,90,,90,Diana
Llamada,Pisos,Limpieza,Visita técnica,San Borja,35,,35,Diana
Llamada,Clases,Clases,clases ,,110,,110,Navid
Pagina Web,Colchón,Limpieza,Limpieza al delicado ,San Isidro,114.5,,114.5,Navid
Pagina Web,Pisos,Limpieza,Limpieza doméstica ,Comas ,75,,180,Diana
Pagina Web,Colchón,Limpieza,Limpieza al delicado ,Comas ,150,,300,Navid
Pagina Web,Medicamento,Medicamento,medicamento ,-,1180,,1180,Navid
Pagina Web,Clases,Clases,30 horas,,1053.7,,1053.7,Diana
Pagina Web,Clases,Clases,30 horas,,1053.7,,1053.7,Cliente
Pagina Web,Pisos,Limpieza,visita tecnica,Magdalena,80,,80,Navid
Pagina Web,Clases,Clases,30 horas ,,2037,,2037,Diana
Pagina Web,Pisos,Limpieza,visita tecnica,Miraflores,80,,80,Navid
Pagina Web,Pisos,Limpieza,visita tecnica,San Isidro,80,,80,Navid
Llamada,Pisos,Limpieza,Visita técnica ,Miraflores,80,,80,Diana
Pagina Web,Pisos,Limpieza,Limpieza profunda de piso +LGP 190m2,San Isidro,1000,,2000,Navid
Llamada,Colchón,Limpieza,Lavado al vapor,Los Olivos,115,114,229,Ever
Llamada,Colchón,Limpieza,Lavado al delicado,Breña,100,109,209,Ever
Pagina Web,Pisos,Limpieza,limpieza doméstica ,Barranco ,92.5,,180,Navid
Llamada,Colchón,Limpieza,Lavado al vapor,Surquillo,130,129,259,Ever
Pagina Web,Abogados,Abogados,asesoría legal ,-,350,,350,Navid
Pagina Web,Marketing,Marketing,Logo,,99,,99,Marco
Pagina Web,Colchón,Limpieza,Limpieza al vapor ,San Juan de Lurigancho,120,,270,Navid
Pagina Web,Colchón,Limpieza,limpieza al vapor ,Jesus Maria,282.5,,565,Navid
Llamada,Pisos,Limpieza,Limpieza profunda ,San isidro,447.5,,447.5,Diana
Pagina Web,Clases,Clases,Paquete 10 horas,,527.73,,527.73,Diana
Pagina Web,Clases,Clases,Paquete 10 horas,,527.73,,527.73,Cliente
Llamada,Clases,Clases,Paquete 30 horas,,1300,,1300,Diana
Llamada,Clases,Clases,Clase piloto ,,100,,100,Diana
Llamada,Pisos,Limpieza,Limpieza profunda ,San isidro,447.5,,447.5,Navid
Llamada,Clases,Clases,paquete de 10 hras ,-,350,,350,Navid
Llamada,Pisos,Limpieza,limpieza profunda ,Pueblo Libre,350,195,545,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Borja,45,,45,Navid
Pagina Web,Colchón,Limpieza,Limpieza al vapor ,San Miguel,174.5,174.5,349,Navid
Llamada,Clases,Clases,Paquete de 30 horas,,2800,,2800,Diana
Llamada,Clases,Clases,Clase Piloto,,160,,160,Diana
Llamada,Colchón,Limpieza,limpieza al vapor ,La Molina,230,230,460,Navid
Pagina Web,Baño,Limpieza,limpieza de baño ,San Borja,150,,295,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Isidro,65,,65,Navid
