MEDIO DE CONTACTO,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,SERVICIO,UBICACIÓN,ANTICIPO,RESTANTE,TOTAL,VENDEDOR
Pagina Web,Clases,Clases,Clase modelo de 4 horas ,,320,,320,Navid
,Clase modelo,Clases,clase,,75,,75,Cliente
Pagina Web,Pisos,Limpieza,Visita paredes,Miraflores,60,,60,Daniela Lisung
Pagina Web,Resolución de tarea,Clases,Resolucion de trabajo,,60,,100,Massoni
Pagina Web,Pisos,Limpieza,Visita tecnica,San Borja,50,,50,Massoni
Pagina Web,Paquete de clases,Clases,Paquete 10hr,,350,,350,Massoni
Pagina Web,Pisos,Limpieza,Visita,Miraflores ,80,,80,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita,San Miguel,80,,80,Daniela Lisung
Pagina Web,Paquete de clases,Clases,paquete 30hr,,669,,669,Marco
Pagina Web,Paquete de clases,Clases,paquete de 30 horas ,,2310,,2310,Cliente
Llamada,Clase modelo,Clases,clase modelo ,,50,,50,Navid
Llamada,Pisos,Limpieza,visita tecnica,Barranco,50,,50,Isabella
Llamada,Clase modelo,Clases,Clase modelo 2 hrs,,185,,185,Navid
Llamada,Clase modelo,Clases,clase modelo 2hrs,,80,,80,Isabella
Pagina Web,Paquete de clases,Clases,Paquete de 30 hrs,,1000,,1000,Navid
Pagina Web,Clase modelo,Clases,Clase modelo 2 hrs,,185,,185,Navid
Pagina Web,Clase modelo,Clases,Clase modelo 2 hrs,,100,,100,Massoni
Pagina Web,Marketing,Marketing,Página web modelo,,514.01,,514.01,Marco
Llamada,Paquete de clases,Clases,paquete de 10 horas,,190,190,380,Isabella
Pagina Web,Pisos,Limpieza,Limpieza de moho,Miraflores,620,,620,Daniela Lisung
Pagina Web,Pisos,Limpieza,limpieza de piso,Miraflores ,490,,490,Daniela Lisung
Pagina Web,Clase modelo,Clases,Clase modelo 2 hrs,,100,,100,Massoni
Pagina Web,Clase modelo,Clases,Clase modelo 2 hrs,,150,,150,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Isidro,80,,80,Navid
Llamada,Paquete de clases,Clases,paquete de 7 horas,,420,,420,Isabella
Pagina Web,Paquete de clases,Clases,paquete 20h,,460,,460,Daniela Lisung
Pagina Web,Pisos,Limpieza,visita tecnica,Surquillo,50,,50,Massoni
Pagina Web,Psicologo,Psicologo,Asesoría,,210,,210,Massoni
Pagina Web,Paquete de clases,Clases,Paquete de 10h,,380,,380,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza Profunda ,Independencia,595,595,1190,Navid
Llamada,Pisos,Limpieza,visita,San Isidro,40,40,80,Isabella
Llamada,Colchón,Limpieza,Limpieza al vapor ,Magdalena,135,135,269,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Isidro,80,,80,Navid
Pagina Web,Pisos,Limpieza,visita tecnica,San Miguel,70,,70,Massoni
Pagina Web,Pisos,Limpieza,visita ,San Isidro,80,,80,Navid
Pagina Web,Paquete de clases,Clases,Paquete 10hr,,530,,530,Daniela Lisung
Pagina Web,Marketing,Marketing,Logo,,290,,290,Daniela Lisung
Pagina Web,Pisos,Limpieza,limpieza de pisos ,San Isidro,700,550,1250,Navid
Pagina Web,Paquete de clases,Clases,Paquete 60h,,1130,,1130,Massoni
Pagina Web,Paquete de clases,Clases,Paquete 10hr,,480,,480,Massoni
Pagina Web,Clases,Clases,Resolucion de trabajo,,70,,70,Isabella
Pagina Web,Paquete de clases,Clases,Paquete 10hr,,180,,180,Massoni
Pagina Web,Mueble,Limpieza,Visita tecnica,Miraflores,50,,50,Massoni
Pagina Web,Inmueble,Limpieza,Visita tecnica,San Isidro,60,,60,Massoni
Llamada,Clase modelo,Clases,clase modelo 3 horas,,165,,165,Isabella
Pagina Web,Mueble,Limpieza,Limpieza a vapor,La Molina,239,,239,Daniela Lisung
Pagina Web,Ventanas ,Limpieza,limpieza de ventanas ,San Isidro,145,145,290,Navid
Pagina Web,Clases,Clases,paquete de 30 horas ,,628.5,,628.5,Cliente
Pagina Web,Clases,Clases,paquete de 30 horas ,,628.5,,628.5,Navid
Pagina Web,Pisos,Limpieza,visita tecnica,San Borja,40,,40,Isabella
Pagina Web,Pisos,Limpieza,visita tecnica,La Molina,60,,60,Massoni
Pagina Web,Abogados,Abogados,Asesoria Legal,,190,,390,Massoni
Llamada,Pisos,Limpieza,visita tecnica ,Surco,50,,50,Navid
Pagina Web,Inmueble,Limpieza,Limpieza profunda ,Jesús Maria,729,,729,Massoni
Pagina Web,Mueble,Limpieza,,Comas ,125,124,249,Massoni
Pagina Web,Clases,Clases,clase,,110,,110,Daniela Lisung
Pagina Web,Clases,Clases,Clase,,100,,100,Massoni
Pagina Web,Resolución de tarea,Clases,RESOLUCIÓN CLASE,,25,,25,Isabella
Pagina Web,Paquete de clases,Clases,Paquete 30hr,,2010,,2010,Massoni
Pagina Web,Pisos,Limpieza,visita tecnica ,Lince,60,,60,Massoni
Pagina Web,Resolución de tarea,Clases,Resolucion de examen,,490,,490,Navid
Llamada,Clase modelo,Clases,Clase modelo ,,150,,150,Isabella
Llamada,Mueble,Limpieza,limpieza muebles,Callao,269,,269,Isabella
Pagina Web,Clase modelo,Clases,Clase Modelo,,307.36,,307.36,Daniela Lisung
Pagina Web,Clase modelo,Clases,Clase Modelo,,190,,190,Daniela Lisung
Pagina Web,Medicamento,Medicamento,temozolamida x2,,1490,,1490,Massoni
Pagina Web,Clases,Clases,Resolucion de ensayo,,290,,290,Massoni
Pagina Web,Inmueble,Limpieza,Limpieza profunda ,Miraflores,950,,950,Navid
Llamada,Clase modelo,Clases,clase modelo 2h,,150,,150,Isabella
Pagina Web,Pisos,Limpieza,visita tecnica ,Miraflores,60,,60,Massoni
Pagina Web,Mueble,Limpieza,limpieza al vapor ,La Molina,140,139,279,Navid
Pagina Web,Paquete de clases,Clases,clase renovacion paquete 10 hr,,380,,380,Cliente
Pagina Web,Clase modelo,Clases,4hr,,200,40,240,Massoni
Llamada,Clase modelo,Clases,clase modelo ,,180,,180,Navid
Pagina Web,Clase modelo,Clases,Clase Modelo,,130,,130,Daniela Lisung
Llamada,Marketing,Marketing,logo,,78,,78,Isabella
Llamada,Inmueble,Limpieza,visita tecnica ,Pueblo Libre,80,,80,Isabella
Pagina Web,Marketing,Marketing,logo,,560,,560,Daniela Lisung
Pagina Web,Inmueble,Limpieza,visita Moho,Pueblo Libre,60,,60,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza de paredes,San Isidro,545,645,1090,Navid
Llamada,Pisos,Limpieza,Limpieza profunda de piso,Santiago de Surco,1325,1325,2650,Navid
Llamada,Clases,Clases,clase modelo,,250,,250,Isabella
Pagina Web,Paquete de clases,Clases,Paquete 20hrs,,1120,,1120,Massoni
Pagina Web,Ventanas,Limpieza,limpieza profunda ventanas,San Isidro,159.5,,319,Massoni
Pagina Web,Inmueble,Limpieza,visita tecnica,,25,,25,Navid
Llamada,Pisos,Limpieza,visita tecnica,Surco,80,,80,Isabella
Pagina Web,Colchón,Limpieza,Limpieza a Vapor,,134.5,,269,Daniela Lisung
Pagina Web,Abogados,Abogados,asesoria,,290,,290,Isabella
Pagina Web,Paquete de clases,Clases,paquete 30 horas,,1680,,1680,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza de humedad,Surco,225,225,450,Navid
Pagina Web,Resolución de tarea,Clases,Resolución de tarea,,125,,125,Navid
Llamada,Inmueble,Limpieza,Limpieza profunda ,Jesús Maria,295,295,590,Navid
Llamada,Inmueble,Limpieza,VISITA TECNICA,La Molina,70,,70,Isabella
Pagina Web,Pisos,Limpieza,VISITA TECNICA,Miraflores,50,,50,Massoni
Pagina Web,Clase modelo,Clases,CLASE MODELO,,90,,90,Isabella
Pagina Web,Clase modelo,Clases,CLASE MODELO,,160,,160,Massoni
Pagina Web,Clase modelo,Clases,CLASE MODELO,,120,,120,Massoni
Pagina Web,Clase modelo,Clases,MINI PAQUETE 4 HORAS,,172,,172,Isabella
Pagina Web,Ventanas ,Limpieza,Limpieza de ventanas,San Borja,125,125,250,Navid
Pagina Web,Medicamento,Medicamento,Trastuzumab ,,2195,2195,4390,Navid
Llamada,Inmueble,Limpieza,"Limpieza departamento, muebles y colchones",Surco,595,595,1190,Navid
Pagina Web,Pisos,Limpieza,VISITA TECNICA,San Isidro,60,,60,Massoni
Pagina Web,Clases,Clases,Paquete 20 hrs,,1220,,1220,Massoni
Pagina Web,Medicamento,Medicamento,voriconazol x 200mg ,,590,,590,Navid
Pagina Web,Psicologo,Psicologo,asesoria,,300,,300,Massoni
Llamada,Pisos,Limpieza,visita tecnica,San Isidro,30,,30,Navid
Llamada,Inmueble,Limpieza,visita tecnica,Surco,50,,50,Massoni
Pagina Web,Pisos,Limpieza,visita tecnica,Jesús Maria,80,,80,Navid
Llamada,Inmueble,Limpieza,limpieza cuarto,Villa el Salvador,115,115,230,Navid
Llamada,Paquete de clases,Clases,Paquete 20 horas,,360,,720,Daniela Lisung
Pagina Web,Limpieza,Limpieza,Limpieza domestica,Pueblo Libre,75,,75,Massoni
Pagina Web,Paquete de clases,Clases,PQ 10 horas,,780,,780,Daniela Lisung
Pagina Web,Resolución de tarea,Clases,Resolucion de trabajos,,50,,50,Massoni
Llamada,Clase modelo,Clases,clase,,190,,190,Daniela Lisung
Llamada,Clases,Clases,clase modelo,,182,,182,Navid
Pagina Web,Paredes,Limpieza,visita tecnica,San Miguel,70,,70,Massoni
Pagina Web,Colchón,Limpieza,limpieza al vapor ,Lince,114.5,114.5,229,Massoni
Pagina Web,Clase modelo,Clases,clase modelo,,65,,65,Massoni
Pagina Web,Clase modelo,Clases,calse modelo ,,50,,50,Cliente
Pagina Web,Inmueble,Limpieza,limpieza profunda,Surco,774,,1290,Massoni
Pagina Web,Inmueble,Limpieza,limpieza profunda,San Isidro,1095,,2190,Massoni
Pagina Web,Ventanas,Limpieza,Limpieza de ventanas,Cercado de Lima,295,,295,Navid
Pagina Web,Clase modelo,Clases,clases,,45,,45,Cliente
Pagina Web,Clase modelo,Clases,clase,,120,,120,Massoni
Pagina Web,Paquete de clases,Clases,paquete de 10 horas ,,650,,650,Navid
Pagina Web,Paquete de clases,Clases,paquete de 10 horas ,,740,,740,Massoni
Pagina Web,Colchón,Limpieza,Limpieza a Vapor,Barranco,190,,190,Daniela Lisung
Pagina Web,Medicamento,Medicamento,trastuzumab,,600,600,1200,Massoni
Pagina Web,Medicamento,Medicamento,voriconazol 200 mg ,,1180,,1180,Navid
Pagina Web,Abogados,Abogados,firma abogado,,400,,400,Massoni
Pagina Web,Colchón,Limpieza,Limpieza a vapor,Callao,114.5,104,218.5,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita,San Juan de Lurigancho,50,,50,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Moho,Lince,80,,80,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita,San Isidro,80,,80,Daniela Lisung
Pagina Web,Clases,Clases,Pago de segunda parte de paquete,,106,,106,Daniela Lisung
Pagina Web,Colchón,Limpieza,Limpieza a Vapor,,115,115,230,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza profunda ,Barranco,245,245,490,Navid
Pagina Web,Clases,Clases,paquete de 10 horas ,,330,,330,Navid
Pagina Web,Cocina,Limpieza,limpieza campanas,,200,,400,Massoni
Llamada,Marketing,Marketing,Logo Premium,,195,195,390,Navid
Llamada,Cocina,Limpieza,Limpieza de cocina ,Surco,50,300,350,Navid
Pagina Web,Paquete de clases,Clases,Paquete 30 hrs,,420,,420,Massoni
Pagina Web,Paquete de clases,Clases,paquete de 30 horas ,,2410,,2410,Navid
Pagina Web,Pisos,Limpieza,visita tecnica,Miraflores ,70,,70,Massoni
Llamada,Clase modelo,Clases,clase modelo 2 horas pedagógicas,,90,,90,Navid
Pagina Web,Marketing,Marketing,diseño de video carta presenctación,,50,,50,Navid
Pagina Web,Clase modelo,Clases,Clase modelo,,190,,190,Massoni
Pagina Web,Pisos,Limpieza,Visita Huachipa,,120,,120,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Moho,Lince,325,,650,Daniela Lisung
Pagina Web,Clases,Clases,Clase Modelo,,110,,110,Daniela Lisung
Pagina Web,Pisos,Limpieza,visita tecnica,Magdalena,60,,60,Massoni
Pagina Web,Clases,Clases,Clases,,100,,100,Massoni
Pagina Web,Clases,Clases,paquete de 10 horas ,,850,,850,Navid
Pagina Web,Mueble,Limpieza,limpieza al vapor ,Jesus Maria,269,,269,Massoni
Pagina Web,Clases,Clases,paquete 10hr,,340,,680,Massoni
Pagina Web,Resolución de tarea,Clases,resolucion de trabajos,,75,,150,Massoni
Pagina Web,Inmueble,Limpieza,Visita tecnica 0,San Isidro,80,,80,Navid
Pagina Web,Medicamento,Medicamento,Tramadol ampolla x4,,100,,100,Massoni
Pagina Web,Clases,Clases,PQ 10 h,,430,,430,Daniela Lisung
Pagina Web,Clases,Clases,Paquete 30 hr,,2010,,2010,Massoni
Pagina Web,Pisos,Limpieza,visita tecnica,,70,,70,Massoni
Pagina Web,Medicamento,Medicamento,Capecitabina x3 blister,,225,,225,Massoni
Pagina Web,Pisos,Limpieza,Visita,San Miguel,80,,80,Daniela Lisung
Pagina Web,Pisos,Limpieza,visita ,Miraflores,80,,80,Navid
Pagina Web,Mueble,Limpieza,Limpieza a Vapor,,169.5,169.5,339,Daniela Lisung
Pagina Web,Medicamento,Medicamento,voriconazol x 200mg ,,590,,590,Cliente
Pagina Web,Inmueble,Limpieza,Limpieza profunda departamento 220m2,San Isidro,1280,,1280,Navid
Llamada,Pisos,Limpieza,visita tecnica ,Surco,40,40,80,Navid
Pagina Web,Pisos,Limpieza,Visita,Callao,80,,80,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza de moho,Barranco,50,,50,Daniela Lisung
Pagina Web,Clase modelo,Clases,Clase modelo ,,95,,95,Navid
Pagina Web,Mueble,Limpieza,vapor,Magdalena,115,,230,Massoni
Pagina Web,Clase modelo,Clases,Clase modelo ,,95,,95,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza profunda de casa de 180m2,Miraflores,346.5,643.5,990,Navid
Pagina Web,Clase modelo,Clases,Parte de pago del paquete  ,,120,,100,Daniela Lisung
Pagina Web,Paquete de clases,Clases,Clase,,380,,380,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Visita tecnica ,San Borja,50,,50,Navid
Pagina Web,Clase modelo,Clases,clase modelo,,160,,160,Massoni
Pagina Web,Inmueble,Limpieza,Limpieza profunda ,Magdalena,150,390,540,Navid
Llamada,Clase modelo,Clases,clase modelo,,140,,140,Navid
Pagina Web,Paquete de clases,Clases,paquete de 30 horas ,,1105,,1105,Navid
Pagina Web,Paquete de clases,Clases,paquete de 30 horas ,,1105,,1105,Daniela Lisung
Llamada,Paquete de clases,Clases,Paquete de 10 horas ,,300,260,560,Navid
Pagina Web,Inmueble,Limpieza,Limpieza de moho,,300,,600,Daniela Lisung
Pagina Web,Paquete de clases,Clases,paquete de 30 horas ,,830,,830,Navid
Llamada,Medicamento,Medicamento,Filgastrim,,490,,490,Daniela Lisung
Pagina Web,Inmueble,Limpieza,limpieza profunda,Magdalena,200,,399,Massoni
Pagina Web,Pisos,Limpieza,visita tecnica ,San Miguel,80,,80,Navid
Pagina Web,Paquete de clases,Clases,paquete de 30 horas ,,550,,550,Navid
Pagina Web,Mueble,Limpieza,Limpieza al vapor ,Surquillo,174.5,174.5,349,Navid
Pagina Web,Clase modelo,Clases,Clase Modelo,,100,,100,Daniela Lisung
Pagina Web,Inmueble,Limpieza,limpieza domestica,Jesus Maria,95,,190,Massoni
Pagina Web,Medicamento,Medicamento,Voriconazol 200mg x2,,1180,,1180,Cliente
Pagina Web,Inmueble,Limpieza,Limpieza profunda,Miraflores,,,,Daniela Lisung
Pagina Web,Paquete de clases,Clases,Paquetes de 10 horas ,,299,,299,Cliente
Pagina Web,Abogados,Abogados,Asesoria Legal,,190,,190,Daniela Lisung
Pagina Web,Inmueble,Limpieza,visita moho,San Isidro,70,,70,Massoni
Pagina Web,Inmueble,Limpieza,visita moho,San Borja,70,,70,Massoni
Pagina Web,Inmueble,Limpieza,visita moho,San Isidro,70,,70,Massoni
Pagina Web,Paquete de clases,Clases,paquete 10 hr,,595,,660,Massoni
Pagina Web,Clase modelo,Clases,Paquete 2do pago,,460,,460,Daniela Lisung
Pagina Web,Alfombra,Limpieza,2 alfombras,Surco,429,,429,Daniela Lisung
Pagina Web,Paquete de clases,Clases,Pq 10 horas,,430,,430,Daniela Lisung
Pagina Web,Mueble,Limpieza,Limpieza de sillas,Magdalena,90,,90,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita,Pueblo Libre,60,,60,Daniela Lisung
Pagina Web,Paquete de clases,Clases,paquete10 hr,,730,,730,Massoni
Pagina Web,Pisos,Limpieza,Visita Tecnica ,San Isidro,50,,50,Navid
Pagina Web,Pisos,Limpieza,visita tecnica,Lurin,80,,80,Massoni
Pagina Web,Pisos,Limpieza,visita tecnica ,Surco,60,,60,Navid
Pagina Web,Clase modelo,Clases,Clase modelo,,190,,190,Navid
Pagina Web,Inmueble,Limpieza,Limpieza de moho,Santiago de Surco,112.5,112.5,225,Navid
Llamada,Clase modelo,Clases,clase modelo ,,80,,80,Navid
Pagina Web,Clase modelo,Clases,clase modelo ,,65,,65,Navid
Pagina Web,Clase modelo,Clases,clases,,90,,90,Daniela Lisung
Pagina Web,Medicamento,Medicamento,Filgastrim,,1050,,1050,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Visita Moho,Barranco,60,,60,Daniela Lisung
Llamada,Pisos,Limpieza,visita piso falso ,Villa el Salvador,80,,80,Navid
Pagina Web,Paquete de clases,Clases,paquete de 20 horas,,1400,,1400,Navid
Llamada,Paquete de clases,Clases,Paquete de 10 horas ,,400,,400,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Borja,60,,60,Navid
Pagina Web,Paquete de clases,Clases,paquete de 30 horas (primer pago),,830,,830,Navid
Pagina Web,Clase modelo,Clases,clases,,90,,90,Daniela Lisung
Pagina Web,Pisos,Limpieza,visita tecnica ,Chorrillos,80,,80,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,La victoria,80,,80,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Martin de Porres,90,,90,Navid
Pagina Web,Mueble,Limpieza,Limpieza Al Vapor ,San Borja,125,125,250,Navid
Pagina Web,Paquete de clases,Clases,Paquete 10 horas,,480,,480,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Visita ,Miraflores,80,,80,Daniela Lisung
Pagina Web,Pisos,Limpieza,visita tecnica ,Jesús Maria,80,,80,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,Jesús Maria,80,,80,Navid
Pagina Web,Clase modelo,Clases,clase modelo,,228,,228,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,Salamanca,80,,80,Navid
Pagina Web,Paquete de clases,Clases,Paquete,,360,,360,Daniela Lisung
Pagina Web,Colchón,Limpieza,Limpieza a Vapor,Miraflores,134.5,,269,Daniela Lisung
Pagina Web,Pisos,Limpieza,visita tecnica ,San Borja,80,,80,Navid
Pagina Web,Resolución de tarea,Clases,resolución de tarea,Huachipa,45,,45,Navid
Pagina Web,Ventana,Limpieza,Limpieza de ventanas,San Isidro,290,,290,Daniela Lisung
Pagina Web,Clase modelo,Clases,Clase modelo ,,221,,221,Navid
Pagina Web,Clase modelo,Clases,paquete de 4 horas ,,405,,405,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,Miraflores,80,,80,Navid
Pagina Web,Inmueble,Limpieza,visita tecnica ,Miraflores,60,,60,Navid
Pagina Web,Clase modelo,Clases,Clases,,530,,530,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Limpieza profunda ,Miraflores ,640,,640,Navid
Pagina Web,Inmueble,Limpieza,Visita Moho,Barranco,190,,190,Daniela Lisung
Pagina Web,Mueble,Limpieza,Limpieza a Vapor,Miraflores,100,,100,Daniela Lisung
Llamada,Alfombra,Limpieza,limpieza a vapor ,Los Olivos,120,399,519,Navid
Pagina Web,Inmueble,Limpieza,visita tecnica,San Isidro,80,,80,Jose Palacios
