MEDIO DE CONTACTO,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,SERVICIO,UBICACIÓN,ANTICIPO,RESTANTE,TOTAL,VENDEDOR
Pagina Web,Mueble,Limpieza,limpieza a vapor ,Miraflores,270,,270,Jose Palacios
Pagina Web,Inmueble,Limpieza,visita tecnica,Miraflores,80,,80,Jose Palacios
Pagina Web,Clase modelo,Clases,clase,,130,,130,Navid
Pagina Web,Clase modelo,Clases,Clase de reforzamiento,Santiago de Surco,50,,50,Yahaira
Pagina Web,Inmueble,Limpieza,visita tecnica,Santiago de Surco,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA ,San Borja,80,,80,Jose Palacios
Pagina Web,Clase modelo,Clases,clase,,160,,160,Navid
Pagina Web,Paquete de clases,Clases,paquete de 40 horas ,,2920,,2920,Navid
Pagina Web,Paquete de clases,Clases,paquete de 90 horas ,,7050,,7050,Cliente
Pagina Web,Resolución de tarea,Clases,resolucion de tarea,Barranco,140,,140,Jose Palacios
Pagina Web,Inmueble,Limpieza,limpieza a vapor,Breña,400,,400,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA,Magdalena,90,,90,Yahaira
Pagina Web,Mueble,Limpieza,Limpieza de mueble 3-2-1,Miraflores ,123,123,246,Navid
Llamada,Clase modelo,Clases,clase modelo,,170,,170,Navid
Llamada,Clase modelo,Clases,clase modelo,,182.5,,182.5,Cliente
Pagina Web,Inmueble,Limpieza,LIMPIEZA TIPO 2,Pueblo Libre,750,,750,Jose Palacios
Pagina Web,Alfombra,Limpieza,VISITA TECNICA,Cercado de Lima,85,,85,Yahaira
Pagina Web,Alfombra,Limpieza,limpieza agresiva,Surco,210,,210,Jose Palacios
Pagina Web,Clase modelo,Clases,CLASE modelo,Miraflores,208,,208,Jose Palacios
Llamada,Abogados,Abogados,Asesoria,,290,,290,Yahaira
Pagina Web,Pisos,Limpieza,Visita técnica,Villa el Salvador,90,,90,Mauricio
Pagina Web,Pisos,Limpieza,visita tecnica,Miraflores,40,,40,Jose Palacios
Pagina Web,Clase modelo,Clases,clase modelo,,128.8,,128.8,Navid
Pagina Web,Clase modelo,Clases,clase modelo,,128.8,,128.8,Yahaira
Pagina Web,Inmueble,Limpieza,primer pago de limpieza profunda ,Surco,645,,645,Navid
Pagina Web,Clase modelo,Clases,paquete de 10 horas ,,137.5,,137.5,Navid
Pagina Web,Clase modelo,Clases,paquete de 10 horas ,,137.5,,137.5,Navid
Pagina Web,Paquete de clases,Clases,PAQUETE 10 HORAS,,312,,312,Jose Palacios
Pagina Web,Clase modelo,Clases,paquete de 10 horas ,,275,,275,Daniela Lisung
Pagina Web,Pisos,Limpieza,Limpieza domestica,Miraflores ,125,200,325,Yahaira
Pagina Web,Paquete de clases,Clases,PAQUETE 20 HORAS,,740,,740,Daniela Lisung
Pagina Web,Inmueble,Limpieza,segundo pago limpieza profunda ,Surco,645,,645,Navid
Pagina Web,Inmueble,Limpieza,visita tecnica pisos,Surco,80,,80,Jose Palacios
Pagina Web,Pisos,Limpieza,visita tecnica pisos,Surco,50,,50,Daniela Lisung
Pagina Web,Marketing,Marketing,Logos Premium ,Surco,300,300,600,Yahaira
Pagina Web,Abogados,Abogados,Asesoria Legal,,1000,,1000,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita Técnica,San Isidro,85,,85,Mauricio
,,,,,,,,Yahaira
Pagina Web,Clase modelo,Clases,Paquete 20h ,,570,,570,Yahaira
Pagina Web,Clase modelo,Clases,Paquete 20h ,,570,,570,Daniela Lisung
Pagina Web,Pisos,Limpieza,VISITA TECNICA,Surco,80,,80,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete de 20h,,1740,,1740,Daniela Lisung
Pagina Web,Alfombra,Limpieza,LIMPIEZA 1ALFOMBRA 13*13,San Borja,2500,,2500,Yahaira
Pagina Web,Alfombra,Limpieza,LIMPIEZA 1ALFOMBRA 13*13,San Borja,2500,,2500,Daniela Lisung
Pagina Web,Paquete de clases,Clases,PAQUETE 10 HORAS,,890,,890,Daniela Lisung
Pagina Web,Inmueble,Limpieza,Visita Técnica Moho,Surco,90,,90,Mauricio
Pagina Web,Inmueble,Limpieza,Visita Técnica Moho,Surco,80,,80,Jose Palacios
Pagina Web,Colchón,Limpieza,LIMPIEZA 2 COLCHONES TIPO 3,Jesus Maria,219,,438,Mauricio
Pagina Web,Pisos,Limpieza,Visita Técnica Piso,Surco,90,,90,Mauricio
Pagina Web,Pisos,Limpieza,visita tecnica de piso,Lince,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,LIMPIEZA TIPO 2 ,San Borja,550,,550,Jose Palacios
Pagina Web,Abogados,Abogados,ASESORIA,,195,,195,Jose Palacios
Pagina Web,Abogados,Abogados,ASESORIA,,500,,500,Daniela Lisung
Pagina Web,Abogados,Abogados,ASESORIA,,195,,195,Daniela Lisung
Pagina Web,Medicamento,Medicamento,2 BLISTERVoriconazol,La Molina,1045,,1045,Yahaira
Pagina Web,Inmueble,Limpieza,LIMPIEZA TIPO 2 PROFUNDA,Jesus Maria,192.5,,385,Mauricio
Pagina Web,Inmueble,Limpieza,VISITA TÉCNICA CASA,Miraflores,90,,90,Mauricio
Llamada,Abogados,Abogados,VERIFICACION DE DENUNCIA SIDPOL,Lurin,110,,110,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita de moho,Santa Anita,80,,80,Daniela Lisung
Pagina Web,Abogados,Abogados,Asesoria,,390,,390,Daniela Lisung
Llamada,Abogados,Abogados,CERTIFICADOS DE PROPIEDADES ,,530,,530,Jose Palacios
Pagina Web,Medicamento,Medicamento,2 BLISTER Voriconazol,Miraflores,1180,,1180,Yahaira
Pagina Web,Abogados,Abogados,Asesoria,,290,,290,Yahaira
Pagina Web,Paquete de clases,Clases,Segunda Parte de pago,,1300,,1300,Daniela Lisung
Pagina Web,Inmueble,Limpieza,visita tecnica de piso,La Molina,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,LIMPIEZA DE MOHO ,Surco,419,,419,Jose Palacios
Pagina Web,Pisos,Limpieza,VISITA TÉCNICA PISO,Miraflores,90,,90,Mauricio
Pagina Web,Colchón,Limpieza,LIMPIEZA COLCHÓN TIPO 3,Villa el Salvador,112.5,112.5,225,Mauricio
Pagina Web,Medicamento,Medicamento,8 und Voriconazol,Miraflores,750,,750,Yahaira
Pagina Web,Abogados,Abogados,ASESORIA,,390,,390,Jose Palacios
Llamada,Paquete de clases,Clases,30 horas de clase,,440,0,440,Yahaira
Pagina Web,Colchón,Limpieza,LAVADO DE COLCHON,San Juan de Lurigancho,100,99,199,Yahaira
Pagina Web,Mueble,Limpieza,LIMPIEZA VAPOR,Cercado de Lima,250,,250,Jose Palacios
Pagina Web,Abogados,Abogados,ASESORIA,Comas ,230,,230,Jose Palacios
Pagina Web,Medicamento,Medicamento, Voriconazol,Miraflores,590,,590,Yahaira
Llamada,Clase modelo,Clases,CLASE MODELO,San Isidro,125,125,250,Yahaira
Pagina Web,Clase modelo,Clases,CLASE MODELO,Barranco,100,,100,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA,San Borja,80,,80,Jose Palacios
Pagina Web,Mueble,Limpieza,LIMPIEZA MUEBLE A VAPOR,Barranco,290,,290,Jose Palacios
Pagina Web,Medicamento,Medicamento,CICLOFOSFAMIDA,Surco,390,,390,Jose Palacios
Pagina Web,Colchón,Limpieza,LIMPIEZA DE COLCHON TIPO 3,Surco,125,124,249,Xiomara
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,San Borja,90,,90,Yahaira
Pagina Web,Clase modelo,Clases,PAQUETE  HORAS,San Isidro,1240,,1240,Yahaira
Pagina Web,Inmueble,Limpieza,VISITA TECNICA,San Isidro,80,,80,Xiomara
Pagina Web,Paquete de clases,Clases,2 do pago ,,430,,430,Daniela Lisung
Pagina Web,Inmueble,Limpieza,VISITA TECNICA MOHO,Surco,80,,80,Jose Palacios
Pagina Web,Clase modelo,Limpieza,Clase Modelo,Surco,120,,120,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA CASA,Miraflores ,80,,80,Jose Palacios
Pagina Web,Mueble,Limpieza,Limpieza de muebe de cuero,Miraflores,189,,189,Daniela Lisung
Llamada,Paquete de clases,Clases,PAQUETE 20 HORAS,Surco,1140,,1140,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 10 horas IB,,890,,890,Yahaira
Pagina Web,Abogados,Abogados,ASESORIA,Barranco,190,,190,Xiomara
Pagina Web,Paquete de clases,Clases,Extensión de Paquete a 60 horas,,2010,,2010,Daniela Lisung
Pagina Web,Paquete de clases,Clases,Restante de Paquete,,400,,400,Daniela Lisung
Pagina Web,Clase modelo,Clases,2 horas pedalogicas,Barranco,120,,120,Jose Palacios
Pagina Web,Paquete de clases,Clases,30 HORAS PEDALOGICAS,La Molina,1767,,1767,Jose Palacios
Pagina Web,Medicamento,Medicamento,1 LENALIDOMIDA,Miraflores,5500,,5500,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA,,95,,95,Yahaira
Pagina Web,Ventana,Limpieza,LIMPIEZA DE VENTANAS,,110,110,220,Yahaira
Llamada,Clase modelo,Clases,Clase Modelo,,90,,90,Jose Palacios
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,Surco,80,,80,Jose Palacios
Pagina Web,Abogados,Abogados,CARTA NOTARIAL,,500,,500,Xiomara
Pagina Web,Mueble,Limpieza,Lavado de muebles,,215,,215,Yahaira
Pagina Web,Paquete de clases,Clases,Clase Modelo,,360,,360,Yahaira
Pagina Web,Paquete de clases,Clases,Paquete 10h,Jesús María,420,,420,Jose Palacios
Pagina Web,Alfombra,Limpieza,LIMPIEZA DE ALFOMBRA ,Callao,330,,330,Jose Palacios
Pagina Web,Paquete de clases,Clases,Restante de paquete ,,337,,337,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,Breña,80,,80,Xiomara
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,Barranco,90,,90,Yahaira
Pagina Web,Inmueble,Limpieza,VISITA TECNICA DE MOHO ,Miraflores,80,,80,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Surquillo,120,,120,Jose Palacios
Pagina Web,Inmueble,Limpieza,LIMPIEZA DE MOHO ,Surco,200,,200,Jose Palacios
Llamada,Mueble,Limpieza,LIMPIEZA DE MUEBLE 3-2,Chorrillos,219,,219,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 10h,Jesus Maria,420,,420,Jose Palacios
Pagina Web,Abogados,Abogados,ASESORIA,San Juan de Lurigancho,320,,320,Jose Palacios
Pagina Web,Paquete de clases,Clases,Pago de extensión de 2 horas,,100,,100,Daniela Lisung
Llamada,Inmueble,Limpieza,LIMPIEZA TIPO 2 ,Surco,1880,,1880,Jose Palacios
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA,Chorrillos,80,,80,Xiomara
Llamada,Colchón,Limpieza,LAVADO COLCHON CUNA TIPO3,Ate,84.5,84.5,169,Xiomara
Llamada,Pisos,Limpieza,Visita Tecnica Piso,San Borja,80,,80,Xiomara
Pagina Web,Marketing,Marketing,Videos,,50,,50,Yahaira
Llamada,Medicamento,Medicamento,Voriconazol,San Borja,750,,750,Jose Palacios
Referencia,Colchón,Limpieza,LAVADO COLCHON 1 PLAZA,Ate,99.5,100,199.5,Xiomara
Llamada,Pisos,Limpieza,Visita Tecnica Piso,Santiago de Surco,60,,60,Yahaira
Pagina Web,Inmueble,Limpieza,Limpieza Doméstica,Pueblo Libre,75,75,150,Yahaira
Pagina Web,Pisos,Limpieza,LAVADO DE ALFOMBRA,La Molina,100,99,199,Xiomara
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,Miraflores,80,,80,Jose Palacios
Pagina Web,Mueble,Limpieza,Limpieza Vapor Mueble,Miraflores,530,,530,Jose Palacios
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,La Molina,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,Miraflores,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,Miraflores,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,San Borja,80,,80,Xiomara
Pagina Web,Clase modelo,Clases,Clase Modelo,Santiago de Surco,150,,150,Yahaira
Pagina Web,Paquete de clases,Clases,Paquete 30h,,2647.5,,2647.5,Daniela Lisung
Pagina Web,Inmueble,Limpieza,OPERARIO X 5 HORAS ,La Molina,150,,150,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Jesús Maria,128,,128,Jose Palacios
Pagina Web,Inmueble,Limpieza,VISITA TECNICA ,San Borja,80,,80,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Santiago de Surco,90,,90,Yahaira
Pagina Web,Inmueble,Limpieza,Limpieza Piso,La Molina,1200,,1200,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 10h,Barranco,840,,840,Jose Palacios
Pagina Web,Colchón,Limpieza,2 COLCHONES QUEEN,Miraflores,739,,739,Jose Palacios
Pagina Web,Inmueble,Limpieza,Limpieza Moho,Miraflores,240,,240,Jose Palacios
Pagina Web,Paquete de clases,Clases,PAQUETE DE 6H ,San Miguel,330,,330,Yahaira
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,Miraflores,80,,80,Xiomara
Pagina Web,Clase modelo,Clases,Clase Modelo,Los Olivos,100,,100,Yahaira
Pagina Web,Abogados,Abogados,ASESORIA MIRATORIA JANIRE,,390,,390,Jose Palacios
Pagina Web,Pisos,Limpieza,VISITA TECNICA PISOS,Pueblo Libre,80,,80,Xiomara
Llamada,Inmueble,Limpieza,LIMPIEZA BASICA CASA,San Isidro,200,,200,Xiomara
Pagina Web,Medicamento,Medicamento,MEDICAMENTOS,,588,,588,Yahaira
Pagina Web,Pisos,Limpieza,VISITA TECNICA,Lince,80,,80,Yahaira
Pagina Web,Alfombra,Limpieza,Limpieza Vapor Alfombra,Barranco,299,,299,Daniela Lisung
Pagina Web,Paquete de clases,Clases,Restante de Paquete,,585,,585,Daniela Lisung
Pagina Web,Clase modelo,Clases,Clase Modelo,,120,,120,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Los Olivos,100,,100,Yahaira
Pagina Web,Mueble,Limpieza,Limpieza Vapor Mueble,Villa Maria del Triunfo,150,155,305,Yahaira
Pagina Web,Ventana,Limpieza,Limpieza Ventana,San Miguel,360,,360,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 10h,Barranco,490,,490,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 30h,Comas ,585,585,1170,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Jesús Maria,190,,190,Jose Palacios
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,Miraflores ,80,,80,Yahaira
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,Miraflores,80,,80,Xiomara
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,Miraflores ,80,,80,Xiomara
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,Miraflores ,80,,80,Xiomara
Pagina Web,Inmueble,Limpieza,Limpieza Industrial Profunda,La Molina,2250,,2250,Jose Palacios
Pagina Web,Abogados,Abogados,Asesoría Abogado,Santiago de Surco,290,,290,Yahaira
Pagina Web,Medicamento,Medicamento,,Santiago de Surco,490,,490,Yahaira
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,San Borja,80,,80,Yahaira
Pagina Web,Inmueble,Limpieza,Visita Tecnica Piso,Santiago de Surco,80,,80,Jose Palacios
Pagina Web,Psicologo,Psicologo,Asesoría Psicologa,Miraflores,270,,270,Xiomara
Pagina Web,Inmueble,Limpieza,Limpieza Piso,San Borja,2500,,2500,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Jesús María,130,,130,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Barranco,130,,130,Jose Palacios
Pagina Web,Medicamento,Medicamento,Lenalidomida,Cercado de Lima,565.5,,565.5,Jose Palacios
Llamada,Clase modelo,Clases,Clase Modelo,,90,,90,Xiomara
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,San Isidro,80,,80,Xiomara
Pagina Web,Clase modelo,Clases,Clase Modelo,Surco,110,,110,Yahaira
Pagina Web,Abogados,Abogados,Asesoría Abogado,Surco,190,,190,Yahaira
Pagina Web,Ventana,Limpieza,Visita Tecnica Casa,San Borja,45,,45,Yahaira
Pagina Web,,Limpieza,Visita Tecnica Moho,San Juan de Miraflores,70,,70,Yahaira
Pagina Web,Mueble,Limpieza,Limpieza Vapor Mueble,Surco,169.5,169.5,339,Xiomara
Pagina Web,Pisos,Limpieza,Visita Tecnica Piso,San Isidro,80,,80,Xiomara
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,Miraflores,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,Chorrillos,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Piso,Lince,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Piso,San Borja,80,,80,Xiomara
Llamada,Inmueble,Limpieza,Visita Tecnica Casa,Surco,80,,80,Xiomara
Pagina Web,Inmueble,Limpieza,Limpieza Piso,San Isidro,3790,,3790,Xiomara
Pagina Web,Paquete de clases,Clases,Paquete 20h,,500,1000,1500,Yahaira
Pagina Web,Inmueble,Limpieza,Limpieza Moho,,280,279,559,Yahaira
Pagina Web,Alfombra,Limpieza,Limpieza Delicado Alfombra,,230,239,469,Yahaira
Pagina Web,Abogados,Abogados,Asesoría Abogado,,2400,1200,2400,Yahaira
Pagina Web,Abogados,Abogados,Asesoría Abogado,,350,,350,Yahaira
Pagina Web,Clase modelo,Clases,Clase Modelo,,50,,50,Yahaira
Pagina Web,Paquete de clases,Clases,Paquete 20h,,1540,,1540,Daniela Lisung
Pagina Web,Paquete de clases,Clases,Paquete 30h,,707,,707,Daniela Lisung
Pagina Web,Clase modelo,Clases,Clase Modelo,,130,,130,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,,80,,80,Xiomara
Pagina Web,Alfombra,Limpieza,Limpieza Vapor Alfombra,,565,565,1130,Yahaira
Pagina Web,Paquete de clases,Clases,Paquete 10h,,440,,440,Yahaira
Pagina Web,Mueble,Limpieza,Limpieza Delicado Mueble,,189,,189,Yahaira
Pagina Web,Clase modelo,Clases,Clase Modelo,,100,,100,Yahaira
Pagina Web,Pisos,Limpieza,Limpieza Piso,San Borja,700,,1400,Xiomara
Pagina Web,Pisos,Limpieza,Limpieza Piso,San Borja,700,,1400,Xiomara
Pagina Web,Paquete de clases,Clases,Paquete 30h,,2697,,2697,Yahaira
Pagina Web,Clase modelo,Limpieza,Clase Modelo,,100,,100,Yahaira
Pagina Web,MOHO,Limpieza,Visita Tecnica Moho,,90,,90,Yahaira
Pagina Web,Inmueble,Limpieza,Visita Tecnica Casa,Miraflores,80,,80,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 10h,,700,,700,Yahaira
Pagina Web,MOHO,Limpieza,Limpieza Moho,,150,155,305,Yahaira
Pagina Web,Ventana,Limpieza,Visita Tecnica Casa,Lince,45,,45,Yahaira
Pagina Web,Ventana,Limpieza,Limpieza Ventana,San Isidro,100,100,200,Yahaira
Pagina Web,Inmueble,Limpieza,Visita Tecnica Piso,Miraflores,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,Miraflores,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Moho,Miraflores,80,,80,Xiomara
Pagina Web,Inmueble,Limpieza,Limpieza Piso,San Isidro,899,,899,Xiomara
Pagina Web,Clase modelo,Clases,Clase Modelo,,120,,120,Yahaira
Pagina Web,MOHO,Limpieza,Visita Tecnica Moho,,70,,70,Yahaira
Pagina Web,Medicamento,Medicamento,Voriconazol,,590,,590,Yahaira
Pagina Web,Paquete de clases,Clases,Paquete 10h,San Juan de Miraflores,640,,640,Jose Palacios
Pagina Web,Paquete de clases,Clases,Paquete 20h,Miraflores ,1900.8,,1900.8,Yahaira
Pagina Web,Paquete de clases,Clases,Paquete 10h,San Borja,440,,440,Yahaira
Pagina Web,MOHO,Limpieza,Limpieza Moho,Pueblo Libre,80,,80,Yahaira
Pagina Web,Clase modelo,Clases,Clase Modelo,Jesús María,140,,140,Yahaira
Pagina Web,Abogados,Abogados,Asesoría Abogado,Jesus Maria,450,,450,Jose Palacios
Pagina Web,Abogados,Abogados,Asesoría Abogado,La Molina,94,,94.4,Jose Palacios
Pagina Web,Clase modelo,Clases,Clase Modelo,Comas ,150,,150,Jose Palacios
Pagina Web,Inmueble,Limpieza,Visita Tecnica Piso,Jesus Maria,80,,80,Jose Palacios
Pagina Web,Inmueble,Limpieza,Limpieza Moho,San Miguel,110,,220,Jose Palacios
Pagina Web,Inmueble,Limpieza,Limpieza Doméstica,Miraflores,55,,110,Jose Palacios
